Orthogroup	Duplications (all)	Duplications (50% support)
OG0000443	6	6
OG0000444	11	11
OG0000445	7	7
OG0000446	6	5
OG0000447	7	7
OG0000448	4	3
OG0000449	9	9
OG0000450	5	5
OG0000451	7	5
OG0000452	6	6
OG0000453	8	7
OG0000454	7	7
OG0000455	5	5
OG0000456	5	5
OG0000457	4	4
OG0000458	5	3
OG0000459	6	6
OG0000460	8	7
OG0000461	6	6
OG0000462	4	4
OG0000463	4	4
OG0000464	7	7
OG0000465	7	7
OG0000466	5	5
OG0000467	4	4
OG0000468	4	4
OG0000469	4	4
OG0000470	4	4
OG0000471	4	4
OG0000472	6	6
OG0000473	9	9
OG0000474	5	5
OG0000475	4	4
OG0000476	5	5
OG0000477	4	4
OG0000478	4	4
OG0000479	5	5
OG0000480	5	4
OG0000481	4	4
OG0000482	4	4
OG0000483	7	5
OG0000484	3	3
OG0000485	4	4
OG0000486	9	6
OG0000487	5	5
OG0000488	6	6
OG0000489	10	7
OG0000490	16	16
OG0000491	5	5
OG0000492	5	5
OG0000493	7	5
OG0000494	5	5
OG0000495	7	7
OG0000496	5	5
OG0000497	8	8
OG0000498	12	12
OG0000499	4	4
OG0000500	6	6
OG0000501	10	10
OG0000502	9	9
OG0000503	6	6
OG0000504	3	3
OG0000505	16	16
OG0000506	16	16
OG0000507	16	16
OG0000508	13	13
OG0000509	15	15
OG0000510	4	4
OG0000511	15	15
OG0000512	2	2
OG0000513	4	4
OG0000514	6	5
OG0000515	9	9
OG0000516	5	4
OG0000517	5	5
OG0000518	6	5
OG0000519	3	3
OG0000520	12	12
OG0000521	3	2
OG0000522	5	5
OG0000523	8	8
OG0000524	3	3
OG0000525	3	3
OG0000526	7	6
OG0000527	6	6
OG0000528	4	4
OG0000529	6	6
OG0000530	5	4
OG0000531	3	3
OG0000532	3	3
OG0000533	6	5
OG0000534	4	4
OG0000535	4	4
OG0000536	7	7
OG0000537	6	6
OG0000538	5	5
OG0000539	5	5
OG0000540	4	3
OG0000541	7	7
OG0000542	3	2
OG0000543	8	8
OG0000544	3	3
OG0000545	5	5
OG0000546	4	4
OG0000547	5	5
OG0000548	7	7
OG0000549	4	3
OG0000550	4	4
OG0000551	4	4
OG0000552	3	3
OG0000553	5	5
OG0000554	5	5
OG0000555	6	6
OG0000556	3	2
OG0000557	6	4
OG0000558	5	5
OG0000559	5	5
OG0000560	6	6
OG0000561	6	5
OG0000562	5	5
OG0000563	3	3
OG0000564	5	4
OG0000565	3	3
OG0000566	5	5
OG0000567	3	3
OG0000568	3	3
OG0000569	3	3
OG0000570	7	7
OG0000571	1	1
OG0000572	8	8
OG0000573	4	4
OG0000574	5	5
OG0000575	6	5
